id,answer
1,Melbourne-COMMA- Victoria
2,42
3,not sure
4,42
5,not sure
6,42
7,Melbourne-COMMA- Victoria
8,Melbourne-COMMA- Victoria
9,not sure
10,not sure
11,Melbourne-COMMA- Victoria
12,42
13,Melbourne-COMMA- Victoria
14,not sure
15,Melbourne-COMMA- Victoria
16,42
17,Melbourne-COMMA- Victoria
18,Melbourne-COMMA- Victoria
19,not sure
20,Melbourne-COMMA- Victoria
21,not sure
22,not sure
23,not sure
24,Melbourne-COMMA- Victoria
25,Melbourne-COMMA- Victoria
26,42
27,not sure
28,Melbourne-COMMA- Victoria
29,not sure
30,42
31,Melbourne-COMMA- Victoria
32,not sure
33,Melbourne-COMMA- Victoria
34,not sure
35,42
36,42
37,not sure
38,42
39,Melbourne-COMMA- Victoria
40,Melbourne-COMMA- Victoria
41,42
42,42
43,Melbourne-COMMA- Victoria
44,42
45,not sure
46,Melbourne-COMMA- Victoria
47,Melbourne-COMMA- Victoria
48,42
49,Melbourne-COMMA- Victoria
50,not sure
51,42
52,not sure
53,Melbourne-COMMA- Victoria
54,42
55,Melbourne-COMMA- Victoria
56,not sure
57,Melbourne-COMMA- Victoria
58,not sure
59,42
60,not sure
61,42
62,Melbourne-COMMA- Victoria
63,42
64,not sure
65,Melbourne-COMMA- Victoria
66,not sure
67,Melbourne-COMMA- Victoria
68,not sure
69,not sure
70,Melbourne-COMMA- Victoria
71,Melbourne-COMMA- Victoria
72,Melbourne-COMMA- Victoria
73,not sure
74,42
75,Melbourne-COMMA- Victoria
76,42
77,Melbourne-COMMA- Victoria
78,not sure
79,not sure
80,42
81,42
82,not sure
83,42
84,Melbourne-COMMA- Victoria
85,42
86,Melbourne-COMMA- Victoria
87,Melbourne-COMMA- Victoria
88,42
89,42
90,Melbourne-COMMA- Victoria
91,not sure
92,42
93,not sure
94,not sure
95,Melbourne-COMMA- Victoria
96,42
97,Melbourne-COMMA- Victoria
98,not sure
99,42
100,not sure
101,Melbourne-COMMA- Victoria
102,Melbourne-COMMA- Victoria
103,42
104,not sure
105,Melbourne-COMMA- Victoria
106,Melbourne-COMMA- Victoria
107,not sure
108,42
109,42
110,not sure
111,42
112,not sure
113,42
114,not sure
115,42
116,42
117,not sure
118,not sure
119,42
120,not sure
121,not sure
122,Melbourne-COMMA- Victoria
123,Melbourne-COMMA- Victoria
124,42
125,42
126,42
127,Melbourne-COMMA- Victoria
128,42
129,not sure
130,42
131,not sure
132,Melbourne-COMMA- Victoria
133,42
134,42
135,42
136,not sure
137,not sure
138,not sure
139,not sure
140,not sure
141,42
142,not sure
143,not sure
144,42
145,42
146,42
147,Melbourne-COMMA- Victoria
148,not sure
149,not sure
150,Melbourne-COMMA- Victoria
151,not sure
152,Melbourne-COMMA- Victoria
153,42
154,42
155,42
156,Melbourne-COMMA- Victoria
157,not sure
158,42
159,Melbourne-COMMA- Victoria
160,42
161,42
162,not sure
163,Melbourne-COMMA- Victoria
164,Melbourne-COMMA- Victoria
165,not sure
166,not sure
167,not sure
168,Melbourne-COMMA- Victoria
169,42
170,42
171,Melbourne-COMMA- Victoria
172,Melbourne-COMMA- Victoria
173,not sure
174,Melbourne-COMMA- Victoria
175,42
176,not sure
177,Melbourne-COMMA- Victoria
178,42
179,42
180,Melbourne-COMMA- Victoria
181,42
182,Melbourne-COMMA- Victoria
183,42
184,42
185,Melbourne-COMMA- Victoria
186,not sure
187,Melbourne-COMMA- Victoria
188,42
189,Melbourne-COMMA- Victoria
190,Melbourne-COMMA- Victoria
191,Melbourne-COMMA- Victoria
192,not sure
193,Melbourne-COMMA- Victoria
194,not sure
195,not sure
196,Melbourne-COMMA- Victoria
197,42
198,not sure
199,Melbourne-COMMA- Victoria
200,not sure
201,Melbourne-COMMA- Victoria
202,not sure
203,not sure
204,42
205,not sure
206,42
207,42
208,Melbourne-COMMA- Victoria
209,42
210,42
211,Melbourne-COMMA- Victoria
212,not sure
213,Melbourne-COMMA- Victoria
214,42
215,not sure
216,42
217,not sure
218,Melbourne-COMMA- Victoria
219,42
220,Melbourne-COMMA- Victoria
221,not sure
222,not sure
223,not sure
224,Melbourne-COMMA- Victoria
225,42
226,Melbourne-COMMA- Victoria
227,42
228,Melbourne-COMMA- Victoria
229,42
230,42
231,Melbourne-COMMA- Victoria
232,not sure
233,not sure
234,42
235,not sure
236,Melbourne-COMMA- Victoria
237,not sure
238,not sure
239,not sure
240,not sure
241,Melbourne-COMMA- Victoria
242,Melbourne-COMMA- Victoria
243,not sure
244,not sure
245,42
246,Melbourne-COMMA- Victoria
247,not sure
248,42
249,42
250,not sure
251,Melbourne-COMMA- Victoria
252,Melbourne-COMMA- Victoria
253,Melbourne-COMMA- Victoria
254,Melbourne-COMMA- Victoria
255,not sure
256,not sure
257,Melbourne-COMMA- Victoria
258,42
259,Melbourne-COMMA- Victoria
260,42
261,Melbourne-COMMA- Victoria
262,Melbourne-COMMA- Victoria
263,Melbourne-COMMA- Victoria
264,Melbourne-COMMA- Victoria
265,42
266,not sure
267,42
268,Melbourne-COMMA- Victoria
269,42
270,42
271,not sure
272,Melbourne-COMMA- Victoria
273,Melbourne-COMMA- Victoria
274,42
275,42
276,42
277,not sure
278,not sure
279,Melbourne-COMMA- Victoria
280,not sure
281,42
282,Melbourne-COMMA- Victoria
283,not sure
284,Melbourne-COMMA- Victoria
285,Melbourne-COMMA- Victoria
286,not sure
287,Melbourne-COMMA- Victoria
288,Melbourne-COMMA- Victoria
289,42
290,not sure
291,42
292,not sure
293,not sure
294,42
295,not sure
296,not sure
297,not sure
298,42
299,not sure
300,not sure
301,not sure
302,not sure
303,42
304,not sure
305,Melbourne-COMMA- Victoria
306,not sure
307,42
308,not sure
309,not sure
310,not sure
311,Melbourne-COMMA- Victoria
312,42
313,not sure
314,Melbourne-COMMA- Victoria
315,not sure
316,Melbourne-COMMA- Victoria
317,not sure
318,Melbourne-COMMA- Victoria
319,42
320,not sure
321,Melbourne-COMMA- Victoria
322,Melbourne-COMMA- Victoria
323,Melbourne-COMMA- Victoria
324,Melbourne-COMMA- Victoria
325,not sure
326,Melbourne-COMMA- Victoria
327,Melbourne-COMMA- Victoria
328,not sure
329,Melbourne-COMMA- Victoria
330,Melbourne-COMMA- Victoria
331,not sure
332,not sure
333,42
334,not sure
335,42
336,Melbourne-COMMA- Victoria
337,Melbourne-COMMA- Victoria
338,not sure
339,Melbourne-COMMA- Victoria
340,not sure
341,Melbourne-COMMA- Victoria
342,not sure
343,not sure
344,42
345,42
346,42
347,42
348,not sure
349,not sure
350,Melbourne-COMMA- Victoria
351,Melbourne-COMMA- Victoria
352,42
353,Melbourne-COMMA- Victoria
354,42
355,42
356,42
357,Melbourne-COMMA- Victoria
358,not sure
359,Melbourne-COMMA- Victoria
360,Melbourne-COMMA- Victoria
361,not sure
362,not sure
363,not sure
364,42
365,42
366,not sure
367,Melbourne-COMMA- Victoria
368,not sure
369,Melbourne-COMMA- Victoria
370,Melbourne-COMMA- Victoria
371,not sure
372,not sure
373,Melbourne-COMMA- Victoria
374,42
375,42
376,Melbourne-COMMA- Victoria
377,42
378,42
379,not sure
380,not sure
381,not sure
382,not sure
383,42
384,not sure
385,42
386,42
387,Melbourne-COMMA- Victoria
